School ID,School Name,Network,Subject,Grade,2014 # Tested,2014 % Students Making National Average Growth,2014 National School Growth Percentile,2015 # Tested,2015 % Students Making National Average Growth,2015 National School Growth Percentile,2016 # Tested,2016 % Students Making National Average Growth,2016 National School Growth Percentile
400033,CICS - LONGWOOD,Charter,MATH,Grade 5,152,48,47,144,46.5,40,153,48.4,47
400033,CICS - LONGWOOD,Charter,MATH,Grade 6,137,32.1,4,140,35.7,13,123,36.6,21
400033,CICS - LONGWOOD,Charter,MATH,Grade 7,122,45.1,20,132,62.9,80,130,44.6,32
400033,CICS - LONGWOOD,Charter,MATH,Grade 8,129,63.6,59,134,59,78,143,42.7,29
400033,CICS - LONGWOOD,Charter,MATH,Grades 3-8 Combined,814,55.2,42,860,54,58,825,50.3,55
400033,CICS - LONGWOOD,Charter,READING,Grade 3,142,62.7,54,149,59.7,42,138,62.3,87
400033,CICS - LONGWOOD,Charter,READING,Grade 4,131,54.2,74,160,55.6,75,137,60.6,94
400033,CICS - LONGWOOD,Charter,READING,Grade 5,151,51.7,37,144,61.8,88,150,52.7,68
400033,CICS - LONGWOOD,Charter,READING,Grade 6,137,54,48,139,57.6,72,124,52.4,54
400033,CICS - LONGWOOD,Charter,READING,Grade 7,121,59.5,56,132,56.8,56,130,43.8,24
400033,CICS - LONGWOOD,Charter,READING,Grade 8,129,70.5,97,134,61.2,74,143,60.8,67
400033,CICS - LONGWOOD,Charter,READING,Grades 3-8 Combined,811,58.6,66,858,58.7,68,822,55.6,70
400035,CHICAGO MATH & SCIENCE HS,Charter,MATH,Grade 6,63,38.1,8,71,50.7,45,69,37.7,11
400035,CHICAGO MATH & SCIENCE HS,Charter,MATH,Grade 7,59,89.8,99,71,66.2,69,77,70.1,86
400035,CHICAGO MATH & SCIENCE HS,Charter,MATH,Grade 8,73,76.7,99,71,80.3,95,75,70.7,96
400035,CHICAGO MATH & SCIENCE HS,Charter,MATH,Grades 3-8 Combined,195,68.2,94,213,65.7,76,221,60.2,72
400035,CHICAGO MATH & SCIENCE HS,Charter,READING,Grade 6,63,54,43,71,59.2,76,69,42,15
400035,CHICAGO MATH & SCIENCE HS,Charter,READING,Grade 7,59,83.1,99,71,46.5,29,77,59.7,78
400035,CHICAGO MATH & SCIENCE HS,Charter,READING,Grade 8,73,47.9,50,71,66.2,54,75,73.3,94
